City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vila franca do campo,37.7167,-25.4333,20.49,99,97,6.2,PT,1697491573
84,mansa,29.9833,75.3833,18.27,85,53,3.18,IN,1697491985
85,las lomitas,-24.7096,-60.593,44.18,15,34,4.94,AR,1697491570
86,kirensk,57.7853,108.1119,3.9,95,100,3.58,RU,1697491577
87,midvagur,62.0511,-7.1939,8.46,93,75,10.8,FO,1697491576
88,saint croix,17.7397,-64.7388,31.25,72,0,2.57,VI,1697491986
89,al kharj,24.155,47.3346,29.32,14,0,4.66,SA,1697491987
90,tralee,52.2704,-9.7026,8.8,87,100,4.79,IE,1697491447
91,sabanozu,40.4825,33.2835,10.42,79,88,2.54,TR,1697491988
92,port elizabeth,-33.918,25.5701,17.4,90,75,3.6,ZA,1697491978
93,crane,31.3974,-102.3501,22.85,26,0,2.17,US,1697491441
94,dunedin,-45.8742,170.5036,9.89,79,100,1.79,NZ,1697491567
95,mumford,5.2618,-0.759,25.46,86,63,5.26,GH,1697491989
96,puerto natales,-51.7236,-72.4875,11.25,50,40,14.92,CL,1697491968
97,anadyr,64.75,177.4833,-2.72,86,20,3.0,RU,1697491990
98,yeppoon,-23.1333,150.7333,19.88,62,1,2.53,AU,1697491990
99,lebu,-37.6167,-73.65,11.21,77,0,10.42,CL,1697491974
100,lihue,21.9789,-159.3672,28.77,70,20,5.14,US,1697491971
101,la passe,45.5549,-0.8967,14.13,55,100,5.39,FR,1697491423
102,timmins,48.4669,-81.3331,7.9,66,40,2.57,CA,1697491873
103,qarqin,37.4185,66.0436,14.61,31,0,4.4,AF,1697491992
104,cockburn town,21.4612,-71.1419,29.98,70,40,4.12,TC,1697491605
105,island harbour,50.724,-1.2758,11.68,79,100,5.81,GB,1697491462
106,rikaze,29.25,88.8833,4.42,52,91,1.66,CN,1697491993
107,olonkinbyen,70.9221,-8.7187,0.77,73,100,5.65,SJ,1697491433
108,ratnagiri,16.9833,73.3,26.59,80,67,1.33,IN,1697491994
109,zaoyang,32.1272,112.7542,17.12,61,2,3.43,CN,1697491994
110,suva,-18.1416,178.4415,25.71,73,75,4.63,FJ,1697491995
111,zhanaozen,43.3,52.8,13.45,23,97,6.66,KZ,1697491995
112,bayganin,48.6947,55.8742,8.58,63,0,5.87,KZ,1697491996
113,thompson,55.7435,-97.8558,12.09,62,75,4.12,CA,1697491968
114,aomori,40.8244,140.74,13.62,73,93,1.79,JP,1697491997
115,labytnangi,66.6572,66.4183,0.97,97,100,2.22,RU,1697491997
116,geraldton,-28.7667,114.6,14.23,44,0,4.12,AU,1697491403
117,port alfred,-33.5906,26.891,16.77,90,87,1.79,ZA,1697491572
118,reggane,26.7158,0.1714,27.32,14,0,2.29,DZ,1697491999
119,codrington,-38.2667,141.9667,8.07,77,0,1.77,AU,1697491417
120,urangan,-25.3,152.9,21.92,74,26,10.11,AU,1697492000
121,saint-philippe,-21.3585,55.7679,23.77,87,94,1.86,RE,1697491599
122,yershov,51.3513,48.2766,11.04,47,80,9.02,RU,1697492001
123,kirovskiy,45.0917,133.5136,0.87,57,2,2.24,RU,1697492001
124,udachny,66.4167,112.4,-3.08,92,100,1.26,RU,1697492001
125,williamsport,41.2412,-77.0011,14.85,75,75,2.57,US,1697491707
126,port-gentil,-0.7193,8.7815,26.98,83,75,4.63,GA,1697492002
127,casablanca,33.5928,-7.6192,24.12,71,97,3.01,MA,1697492003
128,arraial do cabo,-22.9661,-42.0278,23.92,88,40,7.72,BR,1697492003
129,sosnovka,56.255,51.2842,10.07,53,80,5.76,RU,1697492003
130,northam,51.0333,-4.2167,10.14,82,100,8.45,GB,1697491610
131,kegeyli shahar,42.7767,59.6078,7.05,33,0,3.99,UZ,1697492004
132,lata,40.1629,-8.3327,22.67,79,96,4.98,PT,1697491614
133,edinburgh of the seven seas,-37.0676,-12.3116,12.21,69,7,2.21,SH,1697491953
134,vlasim,49.7063,14.8988,4.68,86,61,1.08,CZ,1697492006
135,daru,-9.0763,143.2092,25.17,87,74,4.62,PG,1697491173
136,acapulco de juarez,16.8634,-99.8901,30.9,70,100,3.6,MX,1697492006
137,stanley,54.868,-1.6985,2.66,100,0,0.0,GB,1697491427
138,stiens,53.2623,5.7577,8.88,97,100,0.0,NL,1697492007
139,selfoss,63.9331,-20.9971,2.8,80,100,1.52,IS,1697491963
140,amga,60.8953,131.9608,-7.23,73,80,1.34,RU,1697492008
141,castillos,-34.1667,-53.8333,16.93,96,81,1.36,UY,1697492006
142,susuman,62.7833,148.1667,-20.87,91,4,0.46,RU,1697491409
143,vytegra,61.0064,36.4481,4.64,79,45,5.81,RU,1697492010
144,srikakulam,18.3,83.9,23.97,81,93,2.47,IN,1697492010
145,krasnyy chikoy,50.3643,108.7512,4.57,80,100,2.68,RU,1697492010
146,nuuk,64.1835,-51.7216,-2.66,63,20,6.17,GL,1697491449
147,chui,-33.6971,-53.4616,19.87,87,91,1.88,UY,1697491564
148,bay city,43.5945,-83.8889,12.06,71,100,2.06,US,1697492012
149,stepnoye,51.4,46.8667,15.2,53,78,9.94,RU,1697492012
150,sitka,57.0531,-135.33,13.94,62,100,7.2,US,1697491986
151,badger,64.8,-147.5333,8.23,68,75,3.09,US,1697491955
152,xichang,27.8964,102.2634,13.73,88,45,0.63,CN,1697491585
153,guanica,17.9716,-66.908,31.73,49,34,2.99,PR,1697492014
154,dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697492008
155,ebon,4.582,168.6964,28.26,72,95,1.65,MH,1697492014
156,kruisfontein,-34.0033,24.7314,13.48,93,1,2.38,ZA,1697491457
157,soran,49.78,72.8506,9.27,77,38,2.08,KZ,1697492015
158,khorixas,-20.3667,14.9667,16.71,46,7,1.35,NA,1697492015
159,aasiaat,68.7098,-52.8699,-9.65,98,100,2.99,GL,1697491574
160,teotitlan,18.1319,-97.0767,18.76,83,100,2.76,MX,1697492016
161,manokwari,-0.8667,134.0833,26.47,75,82,1.59,ID,1697491974
162,atafu village,-8.5421,-172.5159,28.37,77,59,7.97,TK,1697491977
163,luderitz,-26.6481,15.1594,20.04,51,0,5.54,NA,1697491975
164,phek,25.6667,94.5,10.04,99,18,0.6,IN,1697492018
165,zhangatas,43.5667,69.75,7.54,53,0,4.96,KZ,1697491566
166,sandnessjoen,66.0217,12.6316,5.23,81,75,4.12,NO,1697491583
167,nogliki,51.8333,143.1667,9.08,84,100,3.13,RU,1697491570
168,sanming,26.2486,117.6186,15.93,89,79,1.14,CN,1697492019
169,yanbu,24.0891,38.0637,28.02,44,0,4.12,SA,1697492000
170,howrah,22.5892,88.3103,26.0,89,20,0.0,IN,1697492020
171,mount isa,-20.7333,139.5,21.87,26,5,7.72,AU,1697491464
172,happy valley-goose bay,53.3168,-60.3315,4.17,60,20,7.2,CA,1697491811
173,kailua-kona,19.6406,-155.9956,28.11,81,75,4.12,US,1697491956
174,hamilton,39.1834,-84.5333,12.69,76,100,4.12,US,1697491968
175,tono,39.3167,141.5333,9.86,70,31,5.74,JP,1697492023
176,arawa,-6.2132,155.5367,27.06,81,100,1.44,PG,1697492023
177,chonchi,-42.6128,-73.8092,12.56,56,6,2.27,CL,1697491463
178,longyearbyen,78.2186,15.6401,-3.09,54,20,4.63,SJ,1697491990
179,tsiombe,-25.3,45.4833,21.22,78,100,1.48,MG,1697492024
180,xining,36.6167,101.7667,4.44,94,100,1.4,CN,1697491923
181,west island,-12.1568,96.8225,25.99,83,75,5.66,CC,1697491997
182,vilyuysk,63.7553,121.6247,-2.12,52,100,5.36,RU,1697491448
183,cidreira,-30.1811,-50.2056,19.29,97,100,7.41,BR,1697492026
184,hawaiian paradise park,19.5933,-154.9731,28.73,76,20,3.6,US,1697491999
185,itanhaem,-24.1831,-46.7889,22.28,97,93,1.95,BR,1697492027
186,lospalos,-8.5186,127.0025,19.83,90,81,1.22,TL,1697491617
